word,type
aba,substantiv
abac,substantiv
abacă,substantiv
abacterian,adjectiv
abager,substantiv
abagerie,substantiv
abagiu,substantiv
abajur,substantiv
abandon,substantiv
abandona,verb
abandonare,substantiv
abandonat,adjectiv
abandonat,substantiv
abandonic,adjectiv
abanos,substantiv
abarticular,adjectiv
abataj,substantiv
abătător,adjectiv
abate,substantiv
abate,verb
abatere,substantiv
abatesă,substantiv
abațial,adjectiv
abație,substantiv
abatiză,substantiv
abator,substantiv
abatoriza,verb
abatorizare,substantiv
abatorizat,adjectiv
abătut,adjectiv
abătut,substantiv
abaxial,adjectiv
abazic,adjectiv
abazie,substantiv
abbevilian,adjectiv
abc,substantiv
abcedat,adjectiv
abces,substantiv
abderit,substantiv
abdica,verb
abdicare,substantiv
abdicat,adjectiv
abdicat,substantiv
abdomen,substantiv
abdominal,adjectiv
abdominalgie,substantiv
abduce,verb
abducere,substantiv
abducție,substantiv
abductor,adjectiv
abdus,adjectiv
abece,substantiv
abeceda,verb
abecedar,substantiv
aberant,adjectiv
aberație,substantiv
aberativ,adjectiv
abhora,verb
abhorat,adjectiv
abietacee,substantiv
abil,adjectiv
abilita,verb
abilitare,substantiv
abilitat,adjectiv
abilitate,substantiv
abiogen,adjectiv
abiogeneză,substantiv
abiotic,adjectiv
abiotrofie,substantiv
abis,substantiv
abisal,adjectiv
abisinian,adjectiv
abisinian,substantiv
abisiniană,substantiv
abitație,substantiv
abject,adjectiv
abjecție,substantiv
abjura,verb
abjurare,substantiv
abjurat,adjectiv
abjurație,substantiv
ablactare,substantiv
ablastie,substantiv
ablație,substantiv
ablațiune,substantiv
ablativ,substantiv
ablaut,substantiv
abluție,substantiv
abluțiune,substantiv
ablutomanie,substantiv
abnega,verb
abnegare,substantiv
abnegație,substantiv
abnegațiune,substantiv
abnorm,adjectiv
abnormitate,substantiv
aboli,verb
abolire,substantiv
abolit,adjectiv
abolit,substantiv
aboliționism,substantiv
aboliționist,adjectiv
abolițiune,substantiv
abominabil,adjectiv
abominațiune,substantiv
abona,verb
abonament,substantiv
abonare,substantiv
abonat,adjectiv
abonat,substantiv
abonată,substantiv
aboral,adjectiv
aborda,verb
abordabil,adjectiv
abordaj,substantiv
abordare,substantiv
abordat,adjectiv
aborigen,adjectiv
aborigenă,substantiv
aborigenitate,substantiv
abortiv,adjectiv
abracadabra,substantiv
abracadabrant,adjectiv
abrahie,substantiv
abraș,adjectiv
abraza,verb
abrazare,substantiv
abrazat,adjectiv
abraziune,substantiv
abraziv,adjectiv
abrazor,substantiv
abreacție,substantiv
abrevia,verb
abreviat,adjectiv
abreviat,substantiv
abreviație,substantiv
abreviațiune,substantiv
abreviativ,adjectiv
abreviator,substantiv
abreviere,substantiv
abroga,verb
abrogare,substantiv
abrogat,adjectiv
abrogat,substantiv
abrogativ,adjectiv
abruca,verb
abrudean,adjectiv
abrudean,substantiv
abrupt,adjectiv
abrupt,substantiv
abrutiza,verb
abrutizant,adjectiv
abrutizare,substantiv
abrutizat,adjectiv
abrutizat,substantiv
abrutizată,substantiv
abscisă,substantiv
abscizie,substantiv
abscons,adjectiv
absconsitate,substantiv
absconzitate,substantiv
absent,adjectiv
absență,substantiv
absenta,verb
absentare,substantiv
absentat,adjectiv
absentat,substantiv
absenteism,substantiv
absenteist,adjectiv
absenteist,substantiv
absidă,substantiv
absidal,adjectiv
absidiolă,substantiv
absint,substantiv
absoluitate,substantiv
absolut,adjectiv
absolut,substantiv
absolutism,substantiv
absolutist,adjectiv
absolutistic,adjectiv
absoluțiune,substantiv
absolutiza,verb
absolutizant,adjectiv
absolutizare,substantiv
absolutizat,adjectiv
absolutizat,substantiv
absolutoriu,adjectiv
absolutoriu,substantiv
absolvent,substantiv
absolventă,substantiv
absolvență,substantiv
absolvi,verb
absolvire,substantiv
absolvit,adjectiv
absolvit,substantiv
absorbabil,adjectiv
absorbant,adjectiv
absorbi,verb
absorbire,substantiv
absorbit,adjectiv
absorbit,substantiv
absorbitor,adjectiv
absorbție,substantiv
absorbțiune,substantiv
absorbtiv,adjectiv
absorbtivitate,substantiv
abstenționism,substantiv
abstenționist,adjectiv
abstenționist,substantiv
abstențiune,substantiv
abstinent,adjectiv
abstinent,substantiv
abstinentă,substantiv
abstinență,substantiv
abstract,adjectiv
abstracție,substantiv
abstracționism,substantiv
abstracționist,adjectiv
abstracționist,substantiv
abstracționistă,substantiv
abstractism,substantiv
abstracțiune,substantiv
abstractiv,adjectiv
abstractiza,verb
abstractizant,adjectiv
abstractizare,substantiv
abstractizat,adjectiv
abstrage,verb
abstragere,substantiv
abstras,adjectiv
abstras,substantiv
abstrus,adjectiv
absurd,adjectiv
absurd,substantiv
absurditate,substantiv
abțibild,substantiv
abțigui,verb
abțiguire,substantiv
abțiguit,adjectiv
abține,verb
abținere,substantiv
abținut,adjectiv
abținut,substantiv
abulic,adjectiv
abulie,substantiv
abunda,verb
abundanță,substantiv
abundare,substantiv
abundent,adjectiv
abundent,substantiv
abundență,substantiv
abur,substantiv
aburca,verb
aburcare,substantiv
aburcat,adjectiv
aburcat,substantiv
aburda,verb
abureală,substantiv
aburi,verb
aburind,adjectiv
aburire,substantiv
aburit,adjectiv
aburos,adjectiv
abuz,substantiv
abuza,verb
abuzare,substantiv
abuzat,adjectiv
abuziv,adjectiv
abzice,verb
ac,substantiv
acacia,substantiv
acadea,substantiv
academic,adjectiv
academician,substantiv
academiciană,substantiv
academie,substantiv
academism,substantiv
academist,adjectiv
academist,substantiv
academistă,substantiv
academiza,verb
academizant,adjectiv
academizat,adjectiv
acadian,adjectiv
acadian,substantiv
acaju,adjectiv
acaju,substantiv
acalazie,substantiv
acalculie,substantiv
acalmie,substantiv
acant,adjectiv
acantă,substantiv
acantacee,substantiv
acantit,substantiv
acantocefal,substantiv
acantocit,substantiv
acantocitoză,substantiv
acantoliză,substantiv
acantom,substantiv
acantopterigieni,substantiv
acantoză,substantiv
acapara,verb
acaparant,adjectiv
acaparant,substantiv
acaparantă,substantiv
acaparare,substantiv
acaparat,adjectiv
acaparat,substantiv
acaparatoare,substantiv
acaparator,adjectiv
acaparator,substantiv
acar,substantiv
acaret,substantiv
acarian,substantiv
acaricid,adjectiv
acaricid,substantiv
acarinată,substantiv
acarioză,substantiv
acarniță,substantiv
acarofobie,substantiv
acarologie,substantiv
acasă,adverb
acaț,substantiv
acăța,verb
acatalectic,adjectiv
acățăra,verb
acățare,substantiv
acățat,adjectiv
acățătoare,substantiv
acățător,adjectiv
acatist,substantiv
acatistier,substantiv
acațiu,substantiv
acauzal,adjectiv
acceda,verb
accede,verb
accedere,substantiv
accelera,verb
accelerare,substantiv
accelerat,adjectiv
accelerat,substantiv
accelerație,substantiv
accelerațiune,substantiv
accelerator,adjectiv
accelerator,substantiv
accelerină,substantiv
accelerograf,substantiv
accelerogramă,substantiv
accelerometru,substantiv
accent,substantiv
accentua,verb
accentual,adjectiv
accentuare,substantiv
accentuat,adjectiv
accentuat,substantiv
accentuație,substantiv
accept,substantiv
accepta,verb
acceptabil,adjectiv
acceptabilitate,substantiv
acceptant,adjectiv
acceptanță,substantiv
acceptare,substantiv
acceptat,adjectiv
acceptat,substantiv
acceptație,substantiv
accepție,substantiv
accepțiune,substantiv
acceptor,adjectiv
acceptor,substantiv
acces,substantiv
accesa,verb
accesare,substantiv
accesat,adjectiv
accesibil,adjectiv
accesibilitate,substantiv
accesibiliza,verb
accesibilizare,substantiv
accesibilizat,adjectiv
accesiune,substantiv
accesoriu,adjectiv
accesoriu,substantiv
accident,substantiv
accidență,substantiv
accidenta,verb
accidental,adjectiv
accidentalitate,substantiv
accidentare,substantiv
accidentat,adjectiv
accidentat,substantiv
accidentată,substantiv
accidențe,substantiv
accidentologie,substantiv
