word,type,syllables,joint_syllables
aba,substantiv,"['a', 'bá']",a-bá
abac,substantiv,"['a', 'bác']",a-bác
abacă,substantiv,"['a', 'bá', 'ca']",a-bá-ca
abacterian,adjectiv,"['a', 'bac', 'te', 'ri', 'án']",a-bac-te-ri-án
abager,substantiv,"['a', 'ba', 'gér']",a-ba-gér
abagerie,substantiv,"['a', 'ba', 'ge', 'rí', 'e']",a-ba-ge-rí-e
abagiu,substantiv,"['a', 'ba', 'gíu']",a-ba-gíu
abajur,substantiv,"['a', 'ba', 'júr']",a-ba-júr
abandon,substantiv,"['a', 'ban', 'dón']",a-ban-dón
abandona,verb,"['a', 'ban', 'do', 'ná']",a-ban-do-ná
abandonare,substantiv,"['a', 'ban', 'do', 'ná', 're']",a-ban-do-ná-re
abandonat,adjectiv,"['a', 'ban', 'do', 'nát']",a-ban-do-nát
abandonat,substantiv,"['a', 'ban', 'do', 'nát']",a-ban-do-nát
abandonic,adjectiv,"['a', 'ban', 'dó', 'nic']",a-ban-dó-nic
abanos,substantiv,"['a', 'ba', 'nós']",a-ba-nós
abataj,substantiv,"['a', 'ba', 'táj']",a-ba-táj
abate,substantiv,"['a', 'bá', 'te']",a-bá-te
abate,verb,"['a', 'bá', 'te']",a-bá-te
abatere,substantiv,"['a', 'bá', 'te', 're']",a-bá-te-re
abatesă,substantiv,"['a', 'ba', 'té', 'sa']",a-ba-té-sa
abațial,adjectiv,"['a', 'ba', 'ţi', 'ál']",a-ba-ţi-ál
abație,substantiv,"['a', 'ba', 'ţí', 'e']",a-ba-ţí-e
abatiză,substantiv,"['a', 'ba', 'tí', 'za']",a-ba-tí-za
abator,substantiv,"['a', 'ba', 'tór']",a-ba-tór
abatoriza,verb,"['a', 'ba', 'to', 'ri', 'zá']",a-ba-to-ri-zá
abatorizare,substantiv,"['a', 'ba', 'to', 'ri', 'zá', 're']",a-ba-to-ri-zá-re
abatorizat,adjectiv,"['a', 'ba', 'to', 'ri', 'zát']",a-ba-to-ri-zát
abătut,adjectiv,"['a', 'bă', 'tút']",a-bă-tút
abătut,substantiv,"['a', 'bă', 'tút']",a-bă-tút
abaxial,adjectiv,"['a', 'ba', 'xi', 'ál']",a-ba-xi-ál
