word,type,syllables,joint_syllables
acvanautic,adjectiv,"['ac', 'va', 'na', 'ú', 'tic']",ac-va-na-ú-tic
acvaplanare,substantiv,"['ac', 'va', 'pla', 'ná', 're']",ac-va-pla-ná-re
acvarist,adjectiv,"['ac', 'va', 'ríst']",ac-va-ríst
acvaristică,substantiv,"['ac', 'va', 'rís', 'ti', 'ca']",ac-va-rís-ti-ca
acvariu,substantiv,"['ac', 'vá', 'riu']",ac-vá-riu
acvaterariu,substantiv,"['ac', 'va', 'te', 'rá', 'riu']",ac-va-te-rá-riu
acvatic,adjectiv,"['ac', 'vá', 'tic']",ac-vá-tic
acvatintă,substantiv,"['ac', 'va', 'tín', 'ta']",ac-va-tín-ta
acvatoriu,substantiv,"['ac', 'va', 'tó', 'riu']",ac-va-tó-riu
acvatubular,adjectiv,"['ac', 'va', 'tu', 'bu', 'lár']",ac-va-tu-bu-lár
acvifaună,substantiv,"['ac', 'vi', 'fá', 'u', 'na']",ac-vi-fá-u-na
acvifer,adjectiv,"['ac', 'vi', 'fér']",ac-vi-fér
acvilă,substantiv,"['ác', 'vi', 'la']",ác-vi-la
acvilin,adjectiv,"['ac', 'vi', 'lín']",ac-vi-lín
acvilon,substantiv,"['ac', 'vi', 'lón']",ac-vi-lón
acvitanian,adjectiv,"['ac', 'vi', 'ta', 'ni', 'án']",ac-vi-ta-ni-án
ada,substantiv,[],not-found
adagiu,substantiv,"['a', 'dá', 'giu']",a-dá-giu
adălmaș,substantiv,[],not-found
adamant,substantiv,"['a', 'da', 'mánt']",a-da-mánt
adamantin,adjectiv,"['a', 'da', 'man', 'tín']",a-da-man-tín
adamantină,substantiv,"['a', 'da', 'man', 'tí', 'na']",a-da-man-tí-na
adamască,substantiv,"['a', 'da', 'más', 'ca']",a-da-más-ca
adamic,adjectiv,[],not-found
adamism,substantiv,"['a', 'da', 'mísm']",a-da-mísm
adamistă,substantiv,[],not-found
adamit,substantiv,"['a', 'da', 'mít']",a-da-mít
adamitic,adjectiv,"['a', 'da', 'mí', 'tic']",a-da-mí-tic
adamsită,substantiv,"['a', 'dam', 'sí', 'ta']",a-dam-sí-ta
adânc,adjectiv,"['a', 'dấnc']",a-dấnc
adânc,substantiv,"['a', 'dấnc']",a-dấnc
adânca,verb,"['a', 'dấn', 'că']",a-dấn-că
adâncat,adjectiv,"['a', 'dân', 'cát']",a-dân-cát
adâncătură,substantiv,[],not-found
adânci,verb,"['a', 'dân', 'cí', '(verb', '-', 'infinitiv', '/', 'verb', '-', 'perfectul', 'simplu)']",a-dân-cí-(verb---infinitiv-/-verb---perfectul-simplu)
adâncime,substantiv,"['a', 'dân', 'cí', 'me']",a-dân-cí-me
adâncire,substantiv,"['a', 'dân', 'cí', 're']",a-dân-cí-re
adâncit,adjectiv,"['a', 'dân', 'cít']",a-dân-cít
adâncit,substantiv,"['a', 'dân', 'cít']",a-dân-cít
adâncitor,substantiv,"['a', 'dân', 'ci', 'tór']",a-dân-ci-tór
adâncitură,substantiv,"['a', 'dân', 'ci', 'tú', 'ra']",a-dân-ci-tú-ra
adâncos,adjectiv,"['a', 'dân', 'cós']",a-dân-cós
adăoga,verb,[],not-found
adăogare,substantiv,[],not-found
adăogat,adjectiv,[],not-found
adaoge,verb,[],not-found
adăogi,verb,[],not-found
adăogire,substantiv,[],not-found
adăogit,adjectiv,[],not-found
adaos,adjectiv,"['a', 'dá', 'os']",a-dá-os
adaos,substantiv,"['a', 'dá', 'os']",a-dá-os
adăpa,verb,"['a', 'dá', 'pă']",a-dá-pă
adăpare,substantiv,"['a', 'dă', 'pá', 're']",a-dă-pá-re
adăpat,adjectiv,"['a', 'dă', 'pát']",a-dă-pát
adăpat,substantiv,"['a', 'dă', 'pát']",a-dă-pát
adăpătoare,substantiv,"['a', 'dă', 'pă', 'toá', 're']",a-dă-pă-toá-re
adăpost,substantiv,"['a', 'dă', 'póst']",a-dă-póst
adăposti,verb,"['a', 'dă', 'pos', 'tí']",a-dă-pos-tí
adăpostire,substantiv,"['a', 'dă', 'pos', 'tí', 're']",a-dă-pos-tí-re
adăpostit,adjectiv,"['a', 'dă', 'pos', 'tít']",a-dă-pos-tít
adăpostit,substantiv,"['a', 'dă', 'pos', 'tít']",a-dă-pos-tít
adapta,verb,"['a', 'dap', 'tá']",a-dap-tá
